,utc_date,utc_time,white,black,event,time_control,white_score,Username_x,Mode_x,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,playing_x,imported game_x,Username_y,Mode_y,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,playing_y,imported game_y
895,1,74,jesstergirado,mustafa7401,Blitz,180+0,0,jesstergirado,Blitz,0,1763,1839,0,0,0,0,0,0,0,2177,0,0,0,338,331,166,164,8,0,5,1,0.0,0.0,0.0,0.0,0.0,,,mustafa7401,Blitz,0,1733,1926,2067,0,0,0,0,0,0,1843,0,0,0,5261,5235,2471,2550,240,1,12,1,0.0,0.0,0.0,0.0,0.0,,
896,1,74,NotLime,vecton,Blitz,180+0,1,NotLime,Blitz,0,1361,1482,1461,0,0,0,0,0,0,1518,0,0,19,832,778,417,375,40,0,1,8,0.0,0.0,0.0,0.0,0.0,,,vecton,Blitz,0,0,1331,1919,0,0,0,0,0,0,0,0,0,0,2874,2668,1283,1484,107,0,28,1,0.0,0.0,0.0,0.0,0.0,,
897,1,74,n0vus0rd0,LucaG42,Blitz,180+2,1,n0vus0rd0,Blitz,0,1545,1728,1824,0,0,0,0,0,0,1820,0,0,0,5062,4921,2425,2482,155,0,7,2,0.0,0.0,0.0,0.0,0.0,,,LucaG42,Blitz,0,1625,1680,0,0,0,0,0,0,0,1656,0,0,0,2349,2334,1101,1146,102,0,8,4,0.0,0.0,0.0,0.0,3.0,,
898,1,74,ohlala34,Alibrahim,Blitz,180+2,0,ohlala34,Blitz,0,1492,1555,1806,0,0,0,0,0,0,2040,21,0,12,3733,3705,1850,1800,83,0,4,9,0.0,0.0,0.0,0.0,4.0,,,Alibrahim,Blitz,0,0,1547,0,0,0,0,0,0,0,0,0,0,0,437,437,220,201,16,0,6,2,0.0,0.0,0.0,0.0,0.0,,
899,1,74,Rh3t0ric,DrMed92,Blitz,180+2,1,Rh3t0ric,Blitz,0,1049,1457,1291,0,0,0,0,0,0,1632,0,0,0,171,156,86,72,13,2,5,1,0.0,0.0,0.0,0.0,0.0,,,DrMed92,Blitz,0,1051,1566,2047,0,0,0,0,0,0,1629,0,0,0,1866,1855,956,872,38,1,3,8,0.0,0.0,0.0,0.0,0.0,,
900,1,74,E_Ruud,Miraga777,Blitz,180+2,1,E_Ruud,Blitz,0,0,1658,0,0,0,0,0,0,0,0,0,0,0,1204,1204,570,570,64,0,8,2,0.0,0.0,0.0,0.0,0.0,,,Miraga777,Blitz,1481,1575,1667,1751,1212,0,0,0,0,0,0,0,0,0,5476,5392,2438,2705,333,0,19,1,0.0,0.0,0.0,0.0,0.0,,
901,1,74,jxshqq,EWQQE2,Blitz,180+2,1,jxshqq,Blitz,0,1053,936,0,0,0,0,0,0,0,1485,0,12,18,348,344,155,187,6,0,10,2,0.0,0.0,0.0,0.0,0.0,,,EWQQE2,Blitz,0,886,858,1098,0,0,0,0,0,0,0,0,0,0,130,112,43,81,6,0,11,0,0.0,0.0,0.0,0.0,0.0,4.0,
902,1,74,helmerfudd,Ro_444,Blitz,180+2,1,helmerfudd,Blitz,0,1507,1602,1938,1807,0,0,0,0,0,2021,0,0,0,30809,30750,14887,14770,1152,29,1,12,0.0,0.0,0.0,0.0,0.0,,,Ro_444,Blitz,0,1212,1595,1801,0,0,0,1441,0,0,1730,0,0,26,10898,10443,4975,5405,518,1,11,1,0.0,0.0,0.0,0.0,0.0,,
903,1,79,Rayandu77,usernameankit22,Blitz,180+2,0,Rayandu77,Blitz,0,1127,1335,1520,0,0,0,0,0,0,1804,0,0,0,1877,1875,888,926,63,0,9,1,0.0,0.0,0.0,0.0,0.0,,,usernameankit22,Blitz,0,1202,1449,1643,0,0,0,0,0,0,1498,0,0,0,1243,1203,555,582,106,0,2,8,0.0,0.0,0.0,0.0,0.0,,
904,1,79,Vernongrove2,abemedra64,Blitz,180+2,1,Vernongrove2,Blitz,0,2167,2259,2219,2157,0,0,0,0,0,0,0,0,0,3860,3817,1991,1513,356,0,8,1,0.0,0.0,0.0,0.0,0.0,,,abemedra64,Blitz,0,2244,2258,2402,2113,0,0,0,0,0,2137,0,0,0,38419,38341,19253,17411,1755,2,1,9,0.0,0.0,0.0,0.0,0.0,,
