,utc_date,utc_time,white_score,UltraBullet_x,Bullet_x,Blitz_x,Rapid_x,Classical_x,Correspondence_x,Crazyhouse_x,Chess960_x,Antichess_x,Horde_x,Puzzles_x,Puzzle Storm_x,Puzzle Racer_x,Puzzle Streak_x,games_x,rated_x,wins_x,losses_x,draws_x,bookmarks_x,win_streak_x,lose_streak_x,King of the Hill_x,Three-check_x,Atomic_x,Racing Kings_x,imported games_x,UltraBullet_y,Bullet_y,Blitz_y,Rapid_y,Classical_y,Correspondence_y,Crazyhouse_y,Chess960_y,Antichess_y,Horde_y,Puzzles_y,Puzzle Storm_y,Puzzle Racer_y,Puzzle Streak_y,games_y,rated_y,wins_y,losses_y,draws_y,bookmarks_y,win_streak_y,lose_streak_y,King of the Hill_y,Three-check_y,Atomic_y,Racing Kings_y,imported games_y,fix_time,add_time,prop_x,prop_y,win2loss_x,win2loss_y,ind_greater_mean_x,ind_greater_mean_y
1653,1,143,2,0,1684,1923,2117,0,0,1608,0,0,0,2465,31,41,48,5503,2633,3641,1722,140,7,8,0,0.0,0.0,0.0,0.0,3.0,0,1485,1846,2004,0,0,0,0,0,0,1915,0,0,0,4399,4399,1807,2512,80,0,18,7,0.0,0.0,0.0,0.0,0.0,300,4,0.6616391059422133,0.41077517617640374,1766,0.7193471337579618,1,1
1654,1,143,2,0,0,1775,0,0,0,0,0,0,0,0,0,0,0,8197,8184,3927,3951,319,0,14,1,0.0,0.0,0.0,0.0,0.0,0,0,1556,1349,0,0,0,0,0,0,1254,12,35,8,8313,8308,3922,3927,464,0,3,10,0.0,0.0,0.0,0.0,0.0,180,0,0.47907771135781385,0.4717911704559124,124,0.9987267634326458,1,1
1655,1,144,2,0,1280,1880,1542,1467,0,0,0,0,0,0,0,0,0,19210,16207,8382,9905,923,7,19,1,0.0,0.0,0.0,0.0,0.0,0,1637,1933,0,0,0,0,0,0,0,0,0,0,0,2528,2526,1223,1200,105,0,10,3,0.0,0.0,0.0,0.0,0.0,180,0,0.4363352420614263,0.4837816455696203,13681,1.0191666666666668,1,1
1656,1,145,0,0,0,1678,0,0,0,0,0,0,0,2216,0,0,0,3842,3842,1863,1840,139,0,8,1,0.0,0.0,0.0,0.0,0.0,0,1214,1598,1847,0,0,0,0,0,0,2291,0,0,0,1113,1038,523,563,27,0,1,13,0.0,0.0,0.0,0.0,0.0,300,3,0.484903695991671,0.46990116801437554,2804,0.9289520426287744,1,1
1657,1,145,0,0,0,1466,1681,1335,0,0,0,0,0,1743,0,0,0,3187,3164,1506,1521,160,0,9,2,0.0,0.0,0.0,0.0,0.0,0,0,1503,1736,1708,0,0,0,0,0,1760,8,0,0,9172,9107,3862,5173,137,1,1,15,0.0,0.0,0.0,0.0,0.0,300,3,0.4725447128961406,0.42106410815525513,5943,0.7465687222114827,0,0
1658,1,145,2,0,1816,2205,2269,0,0,0,1841,0,0,2432,0,0,0,10135,10072,5353,4495,287,1,2,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17445,17358,8605,7842,998,0,0,0,0.0,0.0,0.0,0.0,0.0,300,3,0.5281697089294524,0.49326454571510464,7286,1.0972966080081612,1,1
1659,1,145,2,0,0,911,0,0,0,0,0,0,0,1078,0,0,0,247,231,119,118,10,0,6,2,0.0,0.0,0.0,0.0,0.0,0,994,727,0,0,0,0,0,0,0,0,0,0,0,139,137,47,88,4,0,3,0,0.0,0.0,0.0,0.0,0.0,300,3,0.4817813765182186,0.3381294964028777,94,0.5340909090909091,0,0
1660,1,145,1,0,1609,1754,1884,0,0,0,0,0,0,2031,31,34,31,1225,1050,621,540,64,0,9,2,0.0,0.0,0.0,0.0,10.0,0,1029,1712,0,0,0,0,0,0,0,0,0,0,0,1234,985,699,476,59,0,5,1,0.0,0.0,0.0,0.0,0.0,300,3,0.506938775510204,0.56645056726094,65,1.468487394957983,1,1
1661,1,145,0,0,950,1098,1161,0,0,0,0,0,0,1075,0,0,0,19613,19431,9184,9542,887,6,13,1,0.0,0.0,0.0,0.0,0.0,0,1107,1359,1544,1323,0,0,0,0,0,1775,0,0,0,2419,2315,1230,1102,87,1,1,9,0.0,0.0,0.0,0.0,0.0,300,3,0.4682608473971345,0.5084745762711864,17116,1.116152450090744,0,0
1662,1,145,2,0,1090,1432,0,0,0,0,0,0,0,1361,0,0,0,2655,2651,1285,1271,99,0,10,1,0.0,0.0,0.0,0.0,0.0,0,1553,1546,1818,0,0,0,0,0,0,1997,0,0,0,464,421,258,179,27,0,1,5,0.0,0.0,0.0,0.0,46.0,300,3,0.4839924670433145,0.5560344827586207,2230,1.441340782122905,0,0
